FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Autauga",2019,All,01001,1 to 4,1 to 4,"AL, Autauga County"
"AL, Jefferson",2019,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Shelby",2019,All,01117,1 to 4,1 to 4,"AL, Shelby County"
AK,2019,All,02999,1 to 4,1 to 4,"AK, Alaska"
"AR, Pulaski",2019,All,05119,1 to 4,1 to 4,"AR, Pulaski County"
"AR, Saline",2019,All,05125,1 to 4,1 to 4,"AR, Saline County"
"CA, Butte",2019,All,06007,1 to 4,1 to 4,"CA, Butte County"
"CA, El Dorado",2019,All,06017,1 to 4,1 to 4,"CA, El Dorado County"
"CA, Fresno",2019,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Kern",2019,All,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Madera",2019,All,06039,1 to 4,1 to 4,"CA, Madera County"
"CA, Marin",2019,All,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Merced",2019,All,06047,1 to 4,1 to 4,"CA, Merced County"
"CA, Monterey",2019,All,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Placer",2019,All,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, San Joaquin",2019,All,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, Santa Cruz",2019,All,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Solano",2019,All,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2019,All,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Tuolumne",2019,All,06109,1 to 4,1 to 4,"CA, Tuolumne County"
"CA, Yolo",2019,All,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Adams",2019,All,08001,1 to 4,1 to 4,"CO, Adams County"
"CO, Boulder",2019,All,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Denver",2019,All,08031,1 to 4,1 to 4,"CO, Denver, City and County of"
"CO, Douglas",2019,All,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, Eagle",2019,All,08037,1 to 4,1 to 4,"CO, Eagle County"
"CO, El Paso",2019,All,08041,1 to 4,1 to 4,"CO, El Paso County"
"CO, Garfield",2019,All,08045,1 to 4,1 to 4,"CO, Garfield County"
"CO, Larimer",2019,All,08069,1 to 4,1 to 4,"CO, Larimer County"
"CO, Mesa",2019,All,08077,1 to 4,1 to 4,"CO, Mesa County"
"CO, Routt",2019,All,08107,1 to 4,1 to 4,"CO, Routt County"
"CO, Summit",2019,All,08117,1 to 4,1 to 4,"CO, Summit County"
"CO, Weld",2019,All,08123,1 to 4,1 to 4,"CO, Weld County"
"CT, Hartford",2019,All,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, Litchfield",2019,All,09005,1 to 4,1 to 4,"CT, Litchfield County"
"CT, New Haven",2019,All,09009,1 to 4,1 to 4,"CT, New Haven County"
"DE, New Castle",2019,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"DE, Sussex",2019,All,10005,1 to 4,1 to 4,"DE, Sussex County"
"FL, Alachua",2019,All,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Brevard",2019,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Charlotte",2019,All,12015,1 to 4,1 to 4,"FL, Charlotte County"
"FL, Citrus",2019,All,12017,1 to 4,1 to 4,"FL, Citrus County"
"FL, Collier",2019,All,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, De Soto",2019,All,12027,1 to 4,1 to 4,"FL, DeSoto County"
"FL, Lake",2019,All,12069,1 to 4,1 to 4,"FL, Lake County"
"FL, Manatee",2019,All,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Marion",2019,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Osceola",2019,All,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Pasco",2019,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, Pinellas",2019,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, Polk",2019,All,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, Putnam",2019,All,12107,1 to 4,1 to 4,"FL, Putnam County"
"FL, St Lucie",2019,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Sarasota",2019,All,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Volusia",2019,All,12127,1 to 4,1 to 4,"FL, Volusia County"
"GA, Clayton",2019,All,13063,1 to 4,1 to 4,"GA, Clayton County"
"GA, De Kalb",2019,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Fannin",2019,All,13111,1 to 4,1 to 4,"GA, Fannin County"
"GA, Fulton",2019,All,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Gwinnett",2019,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"HI, Maui",2019,All,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Ada",2019,All,16001,1 to 4,1 to 4,"ID, Ada County"
"IL, Bureau",2019,All,17011,1 to 4,1 to 4,"IL, Bureau County"
"IL, Champaign",2019,All,17019,1 to 4,1 to 4,"IL, Champaign County"
"IL, Du Page",2019,All,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Johnson",2019,All,17087,1 to 4,1 to 4,"IL, Johnson County"
"IL, Kane",2019,All,17089,1 to 4,1 to 4,"IL, Kane County"
"IL, Sangamon",2019,All,17167,1 to 4,1 to 4,"IL, Sangamon County"
"IL, Shelby",2019,All,17173,1 to 4,1 to 4,"IL, Shelby County"
"IL, Will",2019,All,17197,1 to 4,1 to 4,"IL, Will County"
"IL, Winnebago",2019,All,17201,1 to 4,1 to 4,"IL, Winnebago County"
"IN, Allen",2019,All,18003,1 to 4,1 to 4,"IN, Allen County"
"IN, Greene",2019,All,18055,1 to 4,1 to 4,"IN, Greene County"
"IN, Hamilton",2019,All,18057,1 to 4,1 to 4,"IN, Hamilton County"
"IN, Kosciusko",2019,All,18085,1 to 4,1 to 4,"IN, Kosciusko County"
"IN, Madison",2019,All,18095,1 to 4,1 to 4,"IN, Madison County"
"IN, Tippecanoe",2019,All,18157,1 to 4,1 to 4,"IN, Tippecanoe County"
"IN, Vanderburgh",2019,All,18163,1 to 4,1 to 4,"IN, Vanderburgh County"
"IA, Buena Vista",2019,All,19021,1 to 4,1 to 4,"IA, Buena Vista County"
"IA, Clayton",2019,All,19043,1 to 4,1 to 4,"IA, Clayton County"
"IA, Clinton",2019,All,19045,1 to 4,1 to 4,"IA, Clinton County"
"IA, Crawford",2019,All,19047,1 to 4,1 to 4,"IA, Crawford County"
"IA, Dallas",2019,All,19049,1 to 4,1 to 4,"IA, Dallas County"
"IA, Fayette",2019,All,19065,1 to 4,1 to 4,"IA, Fayette County"
"IA, Jefferson",2019,All,19101,1 to 4,1 to 4,"IA, Jefferson County"
"IA, Polk",2019,All,19153,1 to 4,1 to 4,"IA, Polk County"
"IA, Poweshiek",2019,All,19157,1 to 4,1 to 4,"IA, Poweshiek County"
"KS, Cowley",2019,All,20035,1 to 4,1 to 4,"KS, Cowley County"
"KS, Johnson",2019,All,20091,1 to 4,1 to 4,"KS, Johnson County"
"KS, Sedgwick",2019,All,20173,1 to 4,1 to 4,"KS, Sedgwick County"
"KY, Henry",2019,All,21103,1 to 4,1 to 4,"KY, Henry County"
"KY, Jefferson",2019,All,21111,1 to 4,1 to 4,"KY, Jefferson County"
"LA, East Baton Rouge Parish",2019,All,22033,1 to 4,1 to 4,"LA, East Baton Rouge Parish"
"LA, Jefferson Parish",2019,All,22051,1 to 4,1 to 4,"LA, Jefferson Parish"
"LA, Lafayette Parish",2019,All,22055,1 to 4,1 to 4,"LA, Lafayette Parish"
"LA, Orleans Parish",2019,All,22071,1 to 4,1 to 4,"LA, Orleans Parish"
"ME, Cumberland",2019,All,23005,1 to 4,1 to 4,"ME, Cumberland County"
"MD, Anne Arundel",2019,All,24003,1 to 4,1 to 4,"MD, Anne Arundel County"
"MD, Baltimore",2019,All,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Charles",2019,All,24017,1 to 4,1 to 4,"MD, Charles County"
"MD, Frederick",2019,All,24021,1 to 4,1 to 4,"MD, Frederick County"
"MD, Howard",2019,All,24027,1 to 4,1 to 4,"MD, Howard County"
"MD, Prince Georges",2019,All,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MD, Worcester",2019,All,24047,1 to 4,1 to 4,"MD, Worcester County"
"MD, Baltimore City",2019,All,24510,1 to 4,1 to 4,"MD, Baltimore City"
"MA, Bristol",2019,All,25005,1 to 4,1 to 4,"MA, Bristol County"
"MA, Essex",2019,All,25009,1 to 4,1 to 4,"MA, Essex County"
"MA, Hampden",2019,All,25013,1 to 4,1 to 4,"MA, Hampden County"
"MA, Plymouth",2019,All,25023,1 to 4,1 to 4,"MA, Plymouth County"
"MA, Worcester",2019,All,25027,1 to 4,1 to 4,"MA, Worcester County"
"MI, Allegan",2019,All,26005,1 to 4,1 to 4,"MI, Allegan County"
"MI, Benzie",2019,All,26019,1 to 4,1 to 4,"MI, Benzie County"
"MI, Ingham",2019,All,26065,1 to 4,1 to 4,"MI, Ingham County"
"MI, Jackson",2019,All,26075,1 to 4,1 to 4,"MI, Jackson County"
"MI, Kalamazoo",2019,All,26077,1 to 4,1 to 4,"MI, Kalamazoo County"
"MI, Kent",2019,All,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Livingston",2019,All,26093,1 to 4,1 to 4,"MI, Livingston County"
"MI, Macomb",2019,All,26099,1 to 4,1 to 4,"MI, Macomb County"
"MI, Midland",2019,All,26111,1 to 4,1 to 4,"MI, Midland County"
"MI, Ottawa",2019,All,26139,1 to 4,1 to 4,"MI, Ottawa County"
"MI, Washtenaw",2019,All,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MI, Wayne",2019,All,26163,1 to 4,1 to 4,"MI, Wayne County"
"MN, Anoka",2019,All,27003,1 to 4,1 to 4,"MN, Anoka County"
"MN, Dakota",2019,All,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Goodhue",2019,All,27049,1 to 4,1 to 4,"MN, Goodhue County"
"MN, Ramsey",2019,All,27123,1 to 4,1 to 4,"MN, Ramsey County"
"MN, Rice",2019,All,27131,1 to 4,1 to 4,"MN, Rice County"
"MN, Scott",2019,All,27139,1 to 4,1 to 4,"MN, Scott County"
"MN, Sibley",2019,All,27143,1 to 4,1 to 4,"MN, Sibley County"
"MO, Adair",2019,All,29001,1 to 4,1 to 4,"MO, Adair County"
"MO, Barry",2019,All,29009,1 to 4,1 to 4,"MO, Barry County"
"MO, Callaway",2019,All,29027,1 to 4,1 to 4,"MO, Callaway County"
"MO, Dallas",2019,All,29059,1 to 4,1 to 4,"MO, Dallas County"
"MO, Jackson",2019,All,29095,1 to 4,1 to 4,"MO, Jackson County"
"MO, St Louis",2019,All,29189,1 to 4,1 to 4,"MO, St. Louis County"
"MO, St Louis City",2019,All,29510,1 to 4,1 to 4,"MO, St. Louis, City of"
"MT, Gallatin",2019,All,30031,1 to 4,1 to 4,"MT, Gallatin County"
"MT, Missoula",2019,All,30063,1 to 4,1 to 4,"MT, Missoula County"
"NE, Douglas",2019,All,31055,1 to 4,1 to 4,"NE, Douglas County"
"NE, Hall",2019,All,31079,1 to 4,1 to 4,"NE, Hall County"
"NE, Lancaster",2019,All,31109,1 to 4,1 to 4,"NE, Lancaster County"
"NE, Sarpy",2019,All,31153,1 to 4,1 to 4,"NE, Sarpy County"
"NV, Washoe",2019,All,32031,1 to 4,1 to 4,"NV, Washoe County"
"NJ, Atlantic",2019,All,34001,1 to 4,1 to 4,"NJ, Atlantic County"
"NJ, Burlington",2019,All,34005,1 to 4,1 to 4,"NJ, Burlington County"
"NJ, Cumberland",2019,All,34011,1 to 4,1 to 4,"NJ, Cumberland County"
"NJ, Essex",2019,All,34013,1 to 4,1 to 4,"NJ, Essex County"
"NJ, Morris",2019,All,34027,1 to 4,1 to 4,"NJ, Morris County"
"NJ, Somerset",2019,All,34035,1 to 4,1 to 4,"NJ, Somerset County"
"NJ, Sussex",2019,All,34037,1 to 4,1 to 4,"NJ, Sussex County"
"NM, Bernalillo",2019,All,35001,1 to 4,1 to 4,"NM, Bernalillo County"
"NM, Los Alamos",2019,All,35028,1 to 4,1 to 4,"NM, Los Alamos County"
"NY, Albany",2019,All,36001,1 to 4,1 to 4,"NY, Albany County"
"NY, Erie",2019,All,36029,1 to 4,1 to 4,"NY, Erie County"
"NY, Herkimer",2019,All,36043,1 to 4,1 to 4,"NY, Herkimer County"
"NY, Monroe",2019,All,36055,1 to 4,1 to 4,"NY, Monroe County"
"NY, Onondaga",2019,All,36067,1 to 4,1 to 4,"NY, Onondaga County"
"NY, Orange",2019,All,36071,1 to 4,1 to 4,"NY, Orange County"
"NY, Oswego",2019,All,36075,1 to 4,1 to 4,"NY, Oswego County"
"NY, Otsego",2019,All,36077,1 to 4,1 to 4,"NY, Otsego County"
"NY, Richmond",2019,All,36085,1 to 4,1 to 4,"NY, Richmond County"
"NY, Rockland",2019,All,36087,1 to 4,1 to 4,"NY, Rockland County"
"NY, St Lawrence",2019,All,36089,1 to 4,1 to 4,"NY, St. Lawrence County"
"NY, Saratoga",2019,All,36091,1 to 4,1 to 4,"NY, Saratoga County"
