Year,Travel status,Jurisdiction,Count,Legend,Notes
2022,All,AK,1,1 to 4,
2022,All,AR,1,1 to 4,
2022,All,AS,1,1 to 4,
2022,All,CT,4,1 to 4,
2022,All,GA,2,1 to 4,
2022,All,GU,2,1 to 4,
2022,All,HI,4,1 to 4,
2022,All,IA,2,1 to 4,
2022,All,KS,1,1 to 4,
2022,All,LA,4,1 to 4,
2022,All,MO,1,1 to 4,
2022,All,NE,4,1 to 4,
2022,All,NH,1,1 to 4,
2022,All,NM,3,1 to 4,
2022,All,NV,3,1 to 4,
2022,All,RI,3,1 to 4,
2022,All,SC,1,1 to 4,
2022,All,TN,4,1 to 4,
2022,All,UT,3,1 to 4,
2022,All,VT,2,1 to 4,
2022,All,AL,5,5 to 49,
2022,All,AZ,18,5 to 49,
2022,All,CO,14,5 to 49,
2022,All,DC,5,5 to 49,
2022,All,IL,17,5 to 49,
2022,All,IN,6,5 to 49,
2022,All,KY,5,5 to 49,
2022,All,MA,29,5 to 49,
2022,All,MD,12,5 to 49,
2022,All,MI,8,5 to 49,
2022,All,MN,6,5 to 49,
2022,All,NC,10,5 to 49,
2022,All,NJ,35,5 to 49,
2022,All,OH,6,5 to 49,
2022,All,OR,9,5 to 49,
2022,All,PA,20,5 to 49,
2022,All,VA,21,5 to 49,
2022,All,WA,18,5 to 49,
2022,All,WI,9,5 to 49,
2022,All,CA,128,50 to 249,
2022,All,NY,87,50 to 249,
2022,All,TX,57,50 to 249,
2022,All,FL,985,250+,
2022,All,PR,983,250+,
