Year,Travel status,Jurisdiction,Count,Legend,Notes
2018,All,AK,3,1 to 4,
2018,All,AL,3,1 to 4,
2018,All,AR,2,1 to 4,
2018,All,DC,4,1 to 4,
2018,All,GU,3,1 to 4,
2018,All,IN,2,1 to 4,
2018,All,KS,3,1 to 4,
2018,All,KY,3,1 to 4,
2018,All,LA,2,1 to 4,
2018,All,MA,2,1 to 4,
2018,All,MD,4,1 to 4,
2018,All,ME,3,1 to 4,
2018,All,MO,1,1 to 4,
2018,All,MT,1,1 to 4,
2018,All,NE,2,1 to 4,
2018,All,NH,4,1 to 4,
2018,All,NM,1,1 to 4,
2018,All,NV,2,1 to 4,
2018,All,PR,4,1 to 4,
2018,All,RI,1,1 to 4,
2018,All,SC,3,1 to 4,
2018,All,SD,1,1 to 4,
2018,All,UT,4,1 to 4,
2018,All,VT,1,1 to 4,
2018,All,WV,1,1 to 4,
2018,All,AZ,10,5 to 49,
2018,All,CO,9,5 to 49,
2018,All,CT,6,5 to 49,
2018,All,GA,7,5 to 49,
2018,All,HI,12,5 to 49,
2018,All,IA,5,5 to 49,
2018,All,IL,13,5 to 49,
2018,All,MI,10,5 to 49,
2018,All,MN,13,5 to 49,
2018,All,NC,12,5 to 49,
2018,All,NJ,20,5 to 49,
2018,All,NY,30,5 to 49,
2018,All,OH,7,5 to 49,
2018,All,OR,10,5 to 49,
2018,All,PA,13,5 to 49,
2018,All,TN,9,5 to 49,
2018,All,TX,20,5 to 49,
2018,All,VA,8,5 to 49,
2018,All,WA,10,5 to 49,
2018,All,WI,8,5 to 49,
2018,All,AS,150,50 to 249,
2018,All,CA,107,50 to 249,
2018,All,FL,90,50 to 249,
