Year,Travel status,Week,Reported cases
2017,All,01,11
2017,All,02,11
2017,All,03,8
2017,All,04,4
2017,All,05,3
2017,All,06,8
2017,All,07,8
2017,All,08,5
2017,All,09,8
2017,All,10,8
2017,All,11,6
2017,All,12,8
2017,All,13,3
2017,All,14,3
2017,All,15,1
2017,All,16,6
2017,All,17,8
2017,All,18,9
2017,All,19,10
2017,All,20,9
2017,All,21,17
2017,All,22,12
2017,All,23,9
2017,All,24,9
2017,All,25,15
2017,All,26,16
2017,All,27,29
2017,All,28,46
2017,All,29,32
2017,All,30,21
2017,All,31,30
2017,All,32,32
2017,All,33,35
2017,All,34,26
2017,All,35,24
2017,All,36,25
2017,All,37,29
2017,All,38,22
2017,All,39,31
2017,All,40,23
2017,All,41,24
2017,All,42,24
2017,All,43,33
2017,All,44,38
2017,All,45,40
2017,All,46,36
2017,All,47,28
2017,All,48,23
2017,All,49,41
2017,All,50,15
2017,All,51,23
2017,All,52,26
2017,All,53,0
