Year,Travel status,Week,Reported cases
2010,All,01,189
2010,All,02,75
2010,All,03,100
2010,All,04,113
2010,All,05,112
2010,All,06,123
2010,All,07,131
2010,All,08,127
2010,All,09,97
2010,All,10,104
2010,All,11,117
2010,All,12,136
2010,All,13,105
2010,All,14,100
2010,All,15,77
2010,All,16,103
2010,All,17,101
2010,All,18,86
2010,All,19,117
2010,All,20,136
2010,All,21,132
2010,All,22,187
2010,All,23,258
2010,All,24,322
2010,All,25,310
2010,All,26,336
2010,All,27,445
2010,All,28,545
2010,All,29,515
2010,All,30,518
2010,All,31,589
2010,All,32,599
2010,All,33,596
2010,All,34,443
2010,All,35,492
2010,All,36,465
2010,All,37,418
2010,All,38,374
2010,All,39,294
2010,All,40,232
2010,All,41,237
2010,All,42,204
2010,All,43,217
2010,All,44,156
2010,All,45,107
2010,All,46,81
2010,All,47,72
2010,All,48,51
2010,All,49,62
2010,All,50,51
2010,All,51,32
2010,All,52,22
2010,All,53,0
